,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
0,Argentina,ARG,ARS,2.5,1.0,8709.072,8709.072,2000-04-01
1,Australia,AUS,AUD,2.59,1.68,21762.397,33722.92,2000-04-01
2,Brazil,BRA,BRL,2.95,1.79,3501.438,6351.375,2000-04-01
3,Canada,CAN,CAD,2.85,1.47,22340.553,33191.468,2000-04-01
4,Switzerland,CHE,CHF,5.9,1.7,41768.021,62742.041,2000-04-01
5,Chile,CHL,CLP,1260.0,514.0,4985.768,2536663.274,2000-04-01
6,China,CHN,CNY,9.9,8.28,865.236,7162.571,2000-04-01
7,Czech Republic,CZE,CZK,54.37,39.1,6333.862,218956.85,2000-04-01
8,Denmark,DNK,DKK,24.75,8.04,33492.354,233650.703,2000-04-01
9,Euro area,EUZ,EUR,2.56,1.075268817,23703.532148609,22218.5602984294,2000-04-01
10,Britain,GBR,GBP,1.9,0.632911392,28793.321,17792.754,2000-04-01
11,Hong Kong,HKG,HKD,10.2,7.79,24969.005,193736.592,2000-04-01
12,Hungary,HUN,HUF,339.0,279.0,4786.245,1135038.135,2000-04-01
13,Indonesia,IDN,IDR,14500.0,7945.0,829.574,6516424.779,2000-04-01
14,Israel,ISR,ILS,14.5,4.05,19766.941,81829.535,2000-04-01
15,Japan,JPN,JPY,294.0,106.0,36622.892,4171596.609,2000-04-01
16,South Korea,KOR,KRW,3000.0,1108.0,10666.862,12687583.888,2000-04-01
17,Mexico,MEX,MXN,20.9,9.41,6157.249,58866.58,2000-04-01
18,Malaysia,MYS,MYR,4.52,3.8,3762.771,14298.522,2000-04-01
19,New Zealand,NZL,NZD,3.4,2.01,15347.121,28981.836,2000-04-01
20,Poland,POL,PLN,5.5,4.3,4348.147,17249.86,2000-04-01
21,Russia,RUS,RUB,39.5,28.5,1427.307,35181.564,2000-04-01
22,Singapore,SGP,SGD,3.2,1.7,21796.642,36944.363,2000-04-01
23,Sweden,SWE,SEK,24.0,8.84,30928.571,255545.101,2000-04-01
24,Thailand,THA,THB,55.0,38.0,2031.165,76885.008,2000-04-01
25,Taiwan,TWN,TWD,70.0,30.6,13752.716,443795.548,2000-04-01
26,United States,USA,USD,2.24,1.0,34496.241,34496.241,2000-04-01
27,South Africa,ZAF,ZAR,9.0,6.72,3423.595,20929.007,2000-04-01
28,Argentina,ARG,ARS,2.5,1.0,8638.543,8638.543,2001-04-01
29,Australia,AUS,AUD,3.0,1.98,20895.397,35885.257,2001-04-01
30,Brazil,BRA,BRL,3.6,2.19,3772.05,6900.619,2001-04-01
31,Canada,CAN,CAD,3.33,1.56,24296.721,36090.206,2001-04-01
32,Switzerland,CHE,CHF,6.3,1.73,38968.647,65811.907,2001-04-01
33,Chile,CHL,CLP,1260.0,601.0,5099.922,2751361.08,2001-04-01
34,China,CHN,CNY,9.9,8.28,951.163,7874.12,2001-04-01
35,Czech Republic,CZE,CZK,56.0,39.0,6015.067,232172.237,2001-04-01
36,Denmark,DNK,DKK,24.75,8.46,30798.717,248950.473,2001-04-01
37,Euro area,EUZ,EUR,2.57,1.136363636,21530.8420572573,23301.247123934,2001-04-01
38,Britain,GBR,GBP,1.99,0.699300699,28347.704,18699.572,2001-04-01
39,Hong Kong,HKG,HKD,10.7,7.8,25574.491,199284.959,2001-04-01
40,Hungary,HUN,HUF,399.0,303.0,4619.293,1303468.206,2001-04-01
